¾®ºÅ	Éî¶È	TVD	GR	_RT	_SP	_AC
LT2	16.25	16.25	77.019	92624.36	91.374	266.09
LT2	16.375	16.375	76.706	73360.57	91.509	266.205
LT2	16.5	16.5	76.176	45306.96	91.656	266.542
LT2	16.625	16.625	75.052	18863.35	91.817	267.359
LT2	16.75	16.75	74.509	4939.612	91.993	268.974
LT2	16.875	16.875	76.033	884.46	92.183	271.84
LT2	17	17	79.98	625.479	92.388	276.995
LT2	17.125	17.125	84.567	515.689	92.608	289.227
LT2	17.25	17.25	88.301	409.751	92.842	311.048
LT2	17.375	17.375	89.587	446.627	93.091	334.837
LT2	17.5	17.5	89.107	541.66	93.352	345.263
LT2	17.625	17.625	88.292	525.044	93.625	342.194
LT2	17.75	17.75	88.09	371.665	93.909	328.875
LT2	17.875	17.875	88.462	230.171	94.201	306.897
LT2	18	18	89.245	199.005	94.501	288.203
LT2	18.125	18.125	89.826	302.879	94.808	293.34
LT2	18.25	18.25	89.417	454.43	95.121	318.828
LT2	18.375	18.375	87.8	623.617	95.439	353.699
LT2	18.5	18.5	85.622	831.955	95.761	392.985
LT2	18.625	18.625	83.067	1009.272	96.081	428.553
LT2	18.75	18.75	79.91	1012.33	96.397	445.978
LT2	18.875	18.875	76.712	801.911	96.703	442.3
LT2	19	19	74.594	552.353	96.997	428.21
LT2	19.125	19.125	74.433	449.523	97.274	400.944
LT2	19.25	19.25	75.82	457.738	97.532	374.132
LT2	19.375	19.375	78.13	460.158	97.771	368.704
LT2	19.5	19.5	80.016	421.641	97.985	383.842
LT2	19.625	19.625	80.871	391.585	98.177	403.938
LT2	19.75	19.75	81.147	431.263	98.344	432.541
LT2	19.875	19.875	82.086	528.487	98.484	452.98
LT2	20	20	83.682	573.403	98.598	446.958
LT2	20.125	20.125	84.78	499.918	98.687	423.677
LT2	20.25	20.25	84.818	343.407	98.747	396.156
LT2	20.375	20.375	84.095	206.512	98.782	360.466
LT2	20.5	20.5	82.434	140.097	98.789	326.507
LT2	20.625	20.625	79.724	125.488	98.769	308.213
LT2	20.75	20.75	76.469	147.825	98.724	297.601
LT2	20.875	20.875	73.911	202.444	98.653	290.902
LT2	21	21	72.65	252.319	98.561	293.514
LT2	21.125	21.125	72.999	270.486	98.452	300.787
LT2	21.25	21.25	75.007	291.48	98.328	301.306
LT2	21.375	21.375	78.298	355.711	98.194	293.701
LT2	21.5	21.5	81.848	437.002	98.052	281.236
LT2	21.625	21.625	84.921	472.327	97.903	267.915
LT2	21.75	21.75	87.535	474.925	97.751	256.869
LT2	21.875	21.875	89.336	492.023	97.596	252.052
LT2	22	22	89.536	524.215	97.44	254.56
LT2	22.125	22.125	87.701	531.475	97.285	260.98
LT2	22.25	22.25	84.4	496.665	97.132	267.875
LT2	22.375	22.375	80.685	452.561	96.983	273.125
LT2	22.5	22.5	76.726	465.943	96.837	277.16
LT2	22.625	22.625	72.601	576.482	96.697	280.623
LT2	22.75	22.75	69.496	694.039	96.563	282.573
LT2	22.875	22.875	68.762	730.213	96.436	282.484
LT2	23	23	70.086	1035.664	96.315	281.223
LT2	23.125	23.125	72.208	4706.229	96.201	280.406
LT2	23.25	23.25	73.845	12644.69	96.094	280.522
LT2	23.375	23.375	74.587	18755.18	95.992	281.355
LT2	23.5	23.5	74.563	20501.96	95.895	286.545
LT2	23.625	23.625	74.766	20573.53	95.802	302.222
LT2	23.75	23.75	75.793	20370.89	95.713	325.771
LT2	23.875	23.875	76.887	17304.91	95.627	349.565
LT2	24	24	76.917	9373.885	95.544	369.083
LT2	24.125	24.125	76.029	2580.026	95.465	381.638
LT2	24.25	24.25	75.272	359.078	95.388	383.648
LT2	24.375	24.375	75.472	273.799	95.313	371.498
LT2	24.5	24.5	76.469	238.587	95.24	351.658
LT2	24.625	24.625	77.941	226.738	95.168	332.508
LT2	24.75	24.75	79.036	222.439	95.098	318.434
LT2	24.875	24.875	78.996	222.963	95.029	307.992
LT2	25	25	77.962	231.485	94.96	303.291
LT2	25.125	25.125	77.152	244.668	94.892	304.716
LT2	25.25	25.25	76.763	254.374	94.825	306.052
LT2	25.375	25.375	76.308	258.447	94.76	303.322
LT2	25.5	25.5	75.649	260.85	94.695	301.109
LT2	25.625	25.625	74.855	259.595	94.632	303.032
LT2	25.75	25.75	74.543	243.087	94.571	307.671
LT2	25.875	25.875	75.075	211.209	94.511	312.244
LT2	26	26	76.782	177.764	94.453	316.135
LT2	26.125	26.125	79.272	158.371	94.397	317
LT2	26.25	26.25	81.695	152.278	94.342	314.721
LT2	26.375	26.375	83.387	151.156	94.289	311.95
LT2	26.5	26.5	84.308	145.022	94.238	311.22
LT2	26.625	26.625	84.226	134.624	94.18	311.601
LT2	26.75	26.75	83.377	125.616	94.06	312.448
LT2	26.875	26.875	82.587	121.508	93.745	313.825
LT2	27	27	82.063	119.605	93.161	316.077
LT2	27.125	27.125	81.372	117.75	92.305	319.342
LT2	27.25	27.25	80.188	118.101	91.313	322.571
LT2	27.375	27.375	78.969	121.613	90.284	323.972
LT2	27.5	27.5	78.606	124.495	89.255	321.075
LT2	27.625	27.625	79.041	122.678	88.229	313.704
LT2	27.75	27.75	79.654	116.624	87.205	303.968
LT2	27.875	27.875	80.193	110.209	86.183	299.728
LT2	28	28	80.511	105.126	85.164	305.895
LT2	28.125	28.125	80.276	100.403	84.147	321.585
LT2	28.25	28.25	79.657	94.316	83.134	342.748
LT2	28.375	28.375	79.147	86.961	82.124	364.691
LT2	28.5	28.5	79.456	79.854	81.12	378.622
LT2	28.625	28.625	80.734	74.656	80.119	378.016
LT2	28.75	28.75	82.982	72.066	79.123	366.494
LT2	28.875	28.875	85.772	71.897	78.131	354.948
LT2	29	29	87.489	72.35	77.153	349.398
LT2	29.125	29.125	86.536	72.715	76.244	340.874
LT2	29.25	29.25	83.259	73.091	75.557	324.138
LT2	29.375	29.375	78.952	73.696	75.149	308.818
LT2	29.5	29.5	74.711	74.157	74.995	291.384
LT2	29.625	29.625	71.361	73.701	74.979	267.767
LT2	29.75	29.75	69.731	73.028	74.995	251.147
LT2	29.875	29.875	69.704	73.153	75.016	248.311
LT2	30	30	69.891	74.192	75.042	255.539
LT2	30.125	30.125	70.756	75.557	75.071	267.932
LT2	30.25	30.25	73.699	76.647	75.105	286.069
LT2	30.375	30.375	77.636	77.209	75.142	312.567
LT2	30.5	30.5	80.355	77.11	75.182	339.074
LT2	30.625	30.625	81.483	75.279	75.223	356.53
LT2	30.75	30.75	82.646	71.258	75.265	372.502
LT2	30.875	30.875	84.49	65.912	75.307	384.8
LT2	31	31	86.09	61.572	75.349	380.48
LT2	31.125	31.125	86.826	59.689	75.39	370.209
LT2	31.25	31.25	86.343	59.83	75.431	367.049
LT2	31.375	31.375	84.742	60.657	75.471	367.957
LT2	31.5	31.5	82.64	61.61	75.511	368.821
LT2	31.625	31.625	81.021	62.514	75.549	380.325
LT2	31.75	31.75	79.916	63.258	75.584	406.389
LT2	31.875	31.875	79.123	63.93	75.614	434.143
LT2	32	32	78.758	64.945	75.635	453.429
LT2	32.125	32.125	78.781	66.299	75.646	464.83
LT2	32.25	32.25	78.874	67.369	75.646	470.859
LT2	32.375	32.375	78.613	67.486	75.632	462.385
LT2	32.5	32.5	78.26	66.734	75.605	443.542
LT2	32.625	32.625	75.684	65.409	75.565	436.96
LT2	32.75	32.75	69.263	63.997	75.51	450.069
LT2	32.875	32.875	63.261	62.632	75.442	464.535
LT2	33	33	64.983	61.016	75.361	481.609
LT2	33.125	33.125	72.994	58.888	75.267	497.332
LT2	33.25	33.25	80.854	56.678	75.16	493.986
LT2	33.375	33.375	81.89	55.202	75.039	475.158
LT2	33.5	33.5	80.536	54.426	74.906	458.276
LT2	33.625	33.625	80.725	53.842	74.761	447.24
LT2	33.75	33.75	82.603	53.375	74.606	442.521
LT2	33.875	33.875	84.986	52.874	74.444	444.749
LT2	34	34	86.544	52.034	74.279	457.142
LT2	34.125	34.125	86.668	50.871	74.112	475.948
LT2	34.25	34.25	86.064	50.079	73.946	483.668
LT2	34.375	34.375	86.038	50.216	73.785	474.419
