     DEPTH         AC        DEN         GR
    0.1250 -4000.9841 -4000.9841 -4000.9841
    0.2500 -8001.9683 -8001.9683 -8001.9683
    0.3750 -9999.0000 -9999.0000 -9999.0000
    0.5000 -9999.0000 -9999.0000 -9999.0000
    0.6250 -9999.0000 -9999.0000 -9999.0000
    0.7500 -9999.0000 -9999.0000 -9999.0000
    0.8750 -9999.0000 -9999.0000 -9999.0000
    1.0000 -9999.0000 -9999.0000 -9999.0000
    1.1250 -9999.0000 -9999.0000 -9999.0000
    1.2500 -9999.0000 -9999.0000 -9999.0000
    1.3750 -9999.0000 -9999.0000 -9999.0000
    1.5000 -9999.0000 -9999.0000 -9999.0000
    1.6250 -9999.0000 -9999.0000 -9999.0000
    1.7500 -9999.0000 -9999.0000 -9999.0000
    1.8750 -9999.0000 -9999.0000 -9999.0000
    2.0000 -9999.0000 -9999.0000 -9999.0000
    2.1250 -9999.0000 -9999.0000 -9999.0000
    2.2500 -9999.0000 -9999.0000 -9999.0000
    2.3750 -9999.0000 -9999.0000 -9999.0000
    2.5000 -9999.0000 -9999.0000 -9999.0000
    2.6250 -9999.0000 -9999.0000 -9999.0000
    2.7500 -9999.0000 -9999.0000 -9999.0000
    2.8750 -9999.0000 -9999.0000 -9999.0000
    3.0000 -9999.0000 -9999.0000 -9999.0000
    3.1250 -9999.0000 -9999.0000 -9999.0000
    3.2500 -9999.0000 -9999.0000 -9999.0000
    3.3750 -9999.0000 -9999.0000 -9999.0000
    3.5000 -9999.0000 -9999.0000 -9999.0000
    3.6250 -9999.0000 -9999.0000 -9999.0000
    3.7500 -9999.0000 -9999.0000 -9999.0000
    3.8750 -9999.0000 -9999.0000 -9999.0000
    4.0000 -9999.0000 -9999.0000 -9999.0000
    4.1250 -9999.0000 -9999.0000 -9999.0000
    4.2500 -9999.0000 -9999.0000 -9999.0000
    4.3750 -9999.0000 -9999.0000 -9999.0000
    4.5000 -9999.0000 -9999.0000 -9999.0000
    4.6250 -9999.0000 -9999.0000 -9999.0000
    4.7500 -9999.0000 -9999.0000 -9999.0000
    4.8750 -9999.0000 -9999.0000 -9999.0000
    5.0000 -9999.0000 -9999.0000 -9999.0000
    5.1250 -9999.0000 -9999.0000 -9999.0000
    5.2500 -9999.0000 -9999.0000 -9999.0000
    5.3750 -9999.0000 -9999.0000 -9999.0000
    5.5000 -9999.0000 -9999.0000 -9999.0000
    5.6250 -9999.0000 -9999.0000 -9999.0000
    5.7500 -9999.0000 -9999.0000 -9999.0000
    5.8750 -9999.0000 -9999.0000 -9999.0000
    6.0000 -9999.0000 -9999.0000 -9999.0000
    6.1250 -9999.0000 -9999.0000 -9999.0000
    6.2500 -9999.0000 -9999.0000 -9999.0000
    6.3750 -9999.0000 -9999.0000 -9999.0000
    6.5000 -9999.0000 -9999.0000 -9999.0000
    6.6250 -9999.0000 -9999.0000 -9999.0000
    6.7500 -9999.0000 -9999.0000 -9999.0000
    6.8750 -9999.0000 -9999.0000 -9999.0000
    7.0000 -9999.0000 -9999.0000 -9999.0000
    7.1250 -9999.0000 -9999.0000 -9999.0000
    7.2500 -9999.0000 -9999.0000    73.6163
    7.3750 -9999.0000 -9999.0000    73.1811
    7.5000 -9999.0000 -9999.0000    74.0606
    7.6250 -9999.0000 -9999.0000    75.6099
    7.7500 -9999.0000 -9999.0000    76.8306
    7.8750 -9999.0000 -9999.0000    77.3262
    8.0000 -9999.0000 -9999.0000    77.4814
    8.1250 -9999.0000 -9999.0000    78.0569
    8.2500 -9999.0000 -9999.0000    78.3952
    8.3750 -9999.0000 -9999.0000    77.7405
    8.5000 -9999.0000 -9999.0000    77.7627
    8.6250 -9999.0000 -9999.0000    80.6386
    8.7500 -9999.0000 -9999.0000    84.9876
    8.8750 -9999.0000 -9999.0000    86.1072
    9.0000 -9999.0000 -9999.0000    83.1348
    9.1250 -9999.0000 -9999.0000    79.0285
    9.2500 -9999.0000 -9999.0000    77.1467
    9.3750 -9999.0000 -9999.0000    77.3705
    9.5000 -9999.0000 -9999.0000    78.0955
    9.6250 -9999.0000 -9999.0000    78.9931
    9.7500 -9999.0000 -9999.0000    80.2122
    9.8750 -9999.0000 -9999.0000    80.8833
   10.0000 -9999.0000 -9999.0000    80.6356
   10.1250 -9999.0000 -9999.0000    79.9083
   10.2500 -9999.0000 -9999.0000    79.2307
   10.3750 -9999.0000 -9999.0000    78.6632
   10.5000 -9999.0000 -9999.0000    78.4812
   10.6250 -9999.0000 -9999.0000    80.0851
   10.7500 -9999.0000 -9999.0000    82.6429
   10.8750 -9999.0000 -9999.0000    83.6719
   11.0000 -9999.0000 -9999.0000    82.6713
   11.1250 -9999.0000 -9999.0000    80.9508
   11.2500 -9999.0000 -9999.0000    80.3349
   11.3750 -9999.0000 -9999.0000    80.2702
   11.5000 -9999.0000 -9999.0000    79.3846
   11.6250 -9999.0000 -9999.0000    77.9090
   11.7500 -9999.0000 -9999.0000    77.1688
   11.8750 -9999.0000 -9999.0000    77.7404
   12.0000 -9999.0000 -9999.0000    78.6149
   12.1250 -9999.0000 -9999.0000    79.0914
   12.2500 -9999.0000 -9999.0000    79.5563
   12.3750 -9999.0000 -9999.0000    79.9714
   12.5000 -9999.0000 -9999.0000    80.1311
   12.6250 -9999.0000 -9999.0000    80.5481
   12.7500 -9999.0000 -9999.0000    81.0684
   12.8750 -9999.0000 -9999.0000    80.7060
   13.0000 -9999.0000 -9999.0000    79.5677
   13.1250 -9999.0000 -9999.0000    78.8317
   13.2500 -9999.0000 -9999.0000    78.9222
   13.3750 -9999.0000 -9999.0000    78.9924
   13.5000 -9999.0000 -9999.0000    78.6223
   13.6250 -9999.0000 -9999.0000    78.8358
   13.7500 -9999.0000 -9999.0000    79.7150
   13.8750 -9999.0000 -9999.0000    80.3299
   14.0000 -9999.0000 -9999.0000    80.2171
   14.1250 -9999.0000 -9999.0000    79.7351
   14.2500 -9999.0000 -9999.0000    79.6426
   14.3750 -9999.0000 -9999.0000    80.7528
   14.5000 -9999.0000 -9999.0000    83.1878
   14.6250 -9999.0000 -9999.0000    86.5870
   14.7500 -9999.0000 -9999.0000    89.0262
   14.8750 -9999.0000 -9999.0000    89.6123
   15.0000 -9999.0000 -9999.0000    89.1563
   15.1250 -9999.0000 -9999.0000    89.3176
   15.2500 -9999.0000 -9999.0000    90.5121
   15.3750 -9999.0000 -9999.0000    92.1749
   15.5000 -9999.0000 -9999.0000    93.7236
   15.6250 -9999.0000 -9999.0000    94.4586
   15.7500 -9999.0000 -9999.0000    92.7969
   15.8750 -9999.0000 -9999.0000    88.4263
   16.0000 -9999.0000 -9999.0000    82.7433
   16.1250 -9999.0000 -9999.0000    79.3471
   16.2500 -9999.0000 -9999.0000    80.1743
   16.3750 -9999.0000 -9999.0000    84.7994
   16.5000 -9999.0000 -9999.0000    90.2387
   16.6250 -9999.0000 -9999.0000    93.8778
   16.7500 -9999.0000 -9999.0000    94.9468
   16.8750 -9999.0000 -9999.0000    94.3742
   17.0000 -9999.0000 -9999.0000    93.3309
   17.1250 -9999.0000 -9999.0000    92.0411
   17.2500 -9999.0000 -9999.0000    90.1497
